YEAR,OP_FP,BAND_NUMBER,LOWER_BOUNDARY
2017,FPA,1,219.0921
2017,FPA,2,209.0106
2017,FPA,3,199.85
2017,FPA,4,190.5339
2017,FPA,5,182.0193
2017,FPA,6,173.9362
2017,FPA,7,165.9631
2017,FPA,8,157.6903
2017,FPA,9,149.3217
2017,FPA,10,115.881
2017,FPB,1,219.2084
2017,FPB,2,209.4375
2017,FPB,3,200.4326
2017,FPB,4,190.9897
2017,FPB,5,182.3214
2017,FPB,6,174.0662
2017,FPB,7,165.738
2017,FPB,8,157.0382
2017,FPB,9,147.9601
2017,FPB,10,76.6844
2017,FPC,1,222.2305
2017,FPC,2,211.1179
2017,FPC,3,201.1976
2017,FPC,4,191.6672
2017,FPC,5,183.0864
2017,FPC,6,175.1195
2017,FPC,7,167.1188
2017,FPC,8,158.657
2017,FPC,9,149.3676
2017,FPC,10,110.915
2017,FPD,1,229.4606
2017,FPD,2,219.702
2017,FPD,3,210.3605
2017,FPD,4,200.447
2017,FPD,5,191.294
2017,FPD,6,182.4795
2017,FPD,7,173.9185
2017,FPD,8,164.931
2017,FPD,9,155.7925
2017,FPD,10,122.289
2017,FPE,1,210.0621
2017,FPE,2,200.5134
2017,FPE,3,192.1073
2017,FPE,4,183.5846
2017,FPE,5,175.9117
2017,FPE,6,168.4314
2017,FPE,7,160.881
2017,FPE,8,153.0643
2017,FPE,9,144.9487
2017,FPE,10,96.5027
2017,OP,1,224.0714
2017,OP,2,213.6707
2017,OP,3,206.153
2017,OP,4,199.7953
2017,OP,5,194.5218
2017,OP,6,189.4997
2017,OP,7,184.6089
2017,OP,8,179.835
2017,OP,9,175.059
2017,OP,10,170.8879
2017,OP,11,166.8853
2017,OP,12,163.255
2017,OP,13,159.4459
2017,OP,14,155.5807
2017,OP,15,151.7091
2017,OP,16,147.7925
2017,OP,17,143.7825
2017,OP,18,139.6147
2017,OP,19,135.808
2017,OP,20,131.6334
2017,OP,21,126.0603
2017,OP,22,120.786
2017,OP,23,112.55
2017,OP,24,102.6976
2017,OP,25,0
2016,FPA,1,219.254
2016,FPA,2,208.9276
2016,FPA,3,199.7806
2016,FPA,4,190.4124
2016,FPA,5,182.0133
2016,FPA,6,173.9701
2016,FPA,7,165.9359
2016,FPA,8,157.6344
2016,FPA,9,149.4699
2016,FPA,10,112.683
2016,FPB,1,218.5244
2016,FPB,2,209.0736
2016,FPB,3,199.9929
2016,FPB,4,190.8159
2016,FPB,5,182.359
2016,FPB,6,174.2576
2016,FPB,7,166.1684
2016,FPB,8,157.6683
2016,FPB,9,148.6683
2016,FPB,10,1.3239
2016,FPC,1,220.7301
2016,FPC,2,210.1984
2016,FPC,3,200.1899
2016,FPC,4,190.9731
2016,FPC,5,182.5692
2016,FPC,6,174.7394
2016,FPC,7,167.0497
2016,FPC,8,158.7373
2016,FPC,9,149.4962
2016,FPC,10,64.1741
2016,FPD,1,230.4032
2016,FPD,2,221.2641
2016,FPD,3,211.846
2016,FPD,4,201.9186
2016,FPD,5,192.8698
2016,FPD,6,184.2665
2016,FPD,7,175.9442
2016,FPD,8,167.2014
2016,FPD,9,157.8864
2016,FPD,10,122.831
2016,FPE,1,208.951
2016,FPE,2,199.0691
2016,FPE,3,190.6825
2016,FPE,4,182.3095
2016,FPE,5,174.9939
2016,FPE,6,167.7951
2016,FPE,7,160.7297
2016,FPE,8,153.344
2016,FPE,9,145.3556
2016,FPE,10,108.234
2016,OP,1,224.6897
2016,OP,2,214.3284
2016,OP,3,206.6367
2016,OP,4,200.5054
2016,OP,5,195.2519
2016,OP,6,190.2487
2016,OP,7,185.3764
2016,OP,8,180.4402
2016,OP,9,175.8627
2016,OP,10,171.7073
2016,OP,11,167.7199
2016,OP,12,163.9338
2016,OP,13,160.3086
2016,OP,14,156.458
2016,OP,15,152.6011
2016,OP,16,148.6993
2016,OP,17,144.7044
2016,OP,18,140.5523
2016,OP,19,136.7601
2016,OP,20,132.6013
2016,OP,21,127.0492
2016,OP,22,121.7948
2016,OP,23,113.59
2016,OP,24,103.7749
2016,OP,25,0
2015,FPA,1,219.4666
2015,FPA,2,209.2632
2015,FPA,3,200.1987
2015,FPA,4,190.7379
2015,FPA,5,182.0792
2015,FPA,6,173.7783
2015,FPA,7,165.7267
2015,FPA,8,157.1776
2015,FPA,9,148.2864
2015,FPA,10,104.983
2015,FPB,1,219.1186
2015,FPB,2,209.2351
2015,FPB,3,200.1852
2015,FPB,4,190.9607
2015,FPB,5,182.3855
2015,FPB,6,174.2262
2015,FPB,7,166.157
2015,FPB,8,157.6178
2015,FPB,9,148.6666
2015,FPB,10,96.2372
2015,FPC,1,221.4975
2015,FPC,2,210.2479
2015,FPC,3,200.491
2015,FPC,4,191.1382
2015,FPC,5,182.6943
2015,FPC,6,174.8122
2015,FPC,7,166.9562
2015,FPC,8,158.5104
2015,FPC,9,148.8727
2015,FPC,10,107.786
2015,FPD,1,230.5143
2015,FPD,2,221.64
2015,FPD,3,212.3787
2015,FPD,4,202.9021
2015,FPD,5,194.2062
2015,FPD,6,185.8992
2015,FPD,7,177.4694
2015,FPD,8,168.6228
2015,FPD,9,157.8524
2015,FPD,10,124.572
2015,FPE,1,209.8892
2015,FPE,2,200.3221
2015,FPE,3,191.9914
2015,FPE,4,183.5253
2015,FPE,5,175.8853
2015,FPE,6,168.6155
2015,FPE,7,161.2817
2015,FPE,8,153.6708
2015,FPE,9,145.2192
2015,FPE,10,113.481
2015,OP,1,224.5009
2015,OP,2,214.5619
2015,OP,3,206.9835
2015,OP,4,200.8959
2015,OP,5,195.9845
2015,OP,6,191.1634
2015,OP,7,186.1559
2015,OP,8,181.1579
2015,OP,9,176.5899
2015,OP,10,172.5
2015,OP,11,168.5559
2015,OP,12,164.8159
2015,OP,13,161.3169
2015,OP,14,157.5299
2015,OP,15,153.7819
2015,OP,16,149.9219
2015,OP,17,145.9689
2015,OP,18,141.8439
2015,OP,19,138.1579
2015,OP,20,134.1509
2015,OP,21,128.5528
2015,OP,22,123.375
2015,OP,23,115.0194
2015,OP,24,105.893
2015,OP,25,0
2014,FPA,1,219.7335
2014,FPA,2,209.458
2014,FPA,3,199.9339
2014,FPA,4,190.5993
2014,FPA,5,182.164
2014,FPA,6,174.1869
2014,FPA,7,166.1927
2014,FPA,8,157.8151
2014,FPA,9,148.8864
2014,FPA,10,106.902
2014,FPB,1,219.4192
2014,FPB,2,209.4328
2014,FPB,3,200.1695
2014,FPB,4,190.7679
2014,FPB,5,182.1843
2014,FPB,6,174.1147
2014,FPB,7,166.0446
2014,FPB,8,157.5153
2014,FPB,9,148.2757
2014,FPB,10,98.2552
2014,FPC,1,220.877
2014,FPC,2,209.9435
2014,FPC,3,200.0767
2014,FPC,4,190.6984
2014,FPC,5,182.3433
2014,FPC,6,174.3277
2014,FPC,7,166.3291
2014,FPC,8,157.6872
2014,FPC,9,147.9335
2014,FPC,10,106.581
2014,FPD,1,231.4472
2014,FPD,2,221.8756
2014,FPD,3,212.2983
2014,FPD,4,202.5742
2014,FPD,5,193.6513
2014,FPD,6,185.2241
2014,FPD,7,176.9912
2014,FPD,8,168.2062
2014,FPD,9,158.2067
2014,FPD,10,117.315
2014,FPE,1,210.004
2014,FPE,2,200.013
2014,FPE,3,191.3705
2014,FPE,4,183.0638
2014,FPE,5,175.4303
2014,FPE,6,168.2433
2014,FPE,7,160.9816
2014,FPE,8,153.4164
2014,FPE,9,144.884
2014,FPE,10,105.152
2014,OP,1,225.1148
2014,OP,2,215.3771
2014,OP,3,207.6788
2014,OP,4,201.4325
2014,OP,5,196.1393
2014,OP,6,191.0645
2014,OP,7,186.25
2014,OP,8,181.752
2014,OP,9,177.4631
2014,OP,10,173.4686
2014,OP,11,169.435
2014,OP,12,165.8267
2014,OP,13,162.12
2014,OP,14,158.2178
2014,OP,15,154.2604
2014,OP,16,150.4307
2014,OP,17,146.6104
2014,OP,18,142.8322
2014,OP,19,138.7712
2014,OP,20,134.3486
2014,OP,21,129.4604
2014,OP,22,124.3436
2014,OP,23,117.4578
2014,OP,24,105.6702
2014,OP,25,0
2013,FPA,1,220.4032
2013,FPA,2,209.547
2013,FPA,3,200.2176
2013,FPA,4,190.6188
2013,FPA,5,181.929
2013,FPA,6,173.7262
2013,FPA,7,165.5929
2013,FPA,8,157.128
2013,FPA,9,147.9938
2013,FPA,10,109.07
2013,FPB,1,219.7985
2013,FPB,2,209.7741
2013,FPB,3,200.5446
2013,FPB,4,191.1989
2013,FPB,5,182.6883
2013,FPB,6,174.4668
2013,FPB,7,166.3961
2013,FPB,8,157.8234
2013,FPB,9,148.5254
2013,FPB,10,86.3686
2013,FPC,1,222.1874
2013,FPC,2,211.2431
2013,FPC,3,201.1547
2013,FPC,4,191.496
2013,FPC,5,183.1211
2013,FPC,6,175.1497
2013,FPC,7,167.1125
2013,FPC,8,158.6262
2013,FPC,9,149.1908
2013,FPC,10,117.398
2013,FPD,1,231.4043
2013,FPD,2,221.3306
2013,FPD,3,212.4869
2013,FPD,4,202.6687
2013,FPD,5,193.5564
2013,FPD,6,185.0961
2013,FPD,7,176.6158
2013,FPD,8,167.7101
2013,FPD,9,157.5806
2013,FPD,10,123.761
2013,FPE,1,210.012
2013,FPE,2,199.805
2013,FPE,3,191.3252
2013,FPE,4,182.8424
2013,FPE,5,175.3528
2013,FPE,6,168.2149
2013,FPE,7,160.8779
2013,FPE,8,153.2219
2013,FPE,9,144.7937
2013,FPE,10,110.205
2013,OP,1,225.7259
2013,OP,2,215.8727
2013,OP,3,208.1
2013,OP,4,201.8
2013,OP,5,196.4512
2013,OP,6,191.3
2013,OP,7,186.5495
2013,OP,8,181.8691
2013,OP,9,177.5191
2013,OP,10,173.5
2013,OP,11,169.5
2013,OP,12,165.7606
2013,OP,13,161.8532
2013,OP,14,158.05
2013,OP,15,154.037
2013,OP,16,150.2132
2013,OP,17,146.3427
2013,OP,18,142.5157
2013,OP,19,138.4015
2013,OP,20,133.9478
2013,OP,21,128.9847
2013,OP,22,123.8161
2013,OP,23,116.8353
2013,OP,24,104.9153
2013,OP,25,0
2012,FPA,1,219.8066
2012,FPA,2,208.8692
2012,FPA,3,199.2046
2012,FPA,4,189.7279
2012,FPA,5,181.4318
2012,FPA,6,173.3914
2012,FPA,7,165.3572
2012,FPA,8,156.8443
2012,FPA,9,147.8497
2012,FPA,10,113.773
2012,FPB,1,218.0718
2012,FPB,2,207.8651
2012,FPB,3,198.7477
2012,FPB,4,189.5896
2012,FPB,5,181.3572
2012,FPB,6,173.4373
2012,FPB,7,165.5289
2012,FPB,8,157.1875
2012,FPB,9,148.0294
2012,FPB,10,112.536
2012,FPC,1,222.2767
2012,FPC,2,210.6832
2012,FPC,3,200.8033
2012,FPC,4,191.3544
2012,FPC,5,182.9193
2012,FPC,6,174.9879
2012,FPC,7,167.0838
2012,FPC,8,158.4938
2012,FPC,9,148.9527
2012,FPC,10,117.681
2012,FPD,1,230.7295
2012,FPD,2,221.4302
2012,FPD,3,211.4756
2012,FPD,4,201.7283
2012,FPD,5,192.5806
2012,FPD,6,184.0513
2012,FPD,7,175.4552
2012,FPD,8,166.5559
2012,FPD,9,156.2298
2012,FPD,10,121.725
2012,FPE,1,216.465
2012,FPE,2,205.9853
2012,FPE,3,196.9325
2012,FPE,4,187.903
2012,FPE,5,179.8287
2012,FPE,6,172.1984
2012,FPE,7,164.5126
2012,FPE,8,156.305
2012,FPE,9,146.9743
2012,FPE,10,110.374
2012,OP,1,225.3039
2012,OP,2,215.5433
2012,OP,3,208.18
2012,OP,4,201.51
2012,OP,5,196.2155
2012,OP,6,191.211
2012,OP,7,186.3778
2012,OP,8,181.749
2012,OP,9,177.47
2012,OP,10,173.638
2012,OP,11,169.7
2012,OP,12,165.8037
2012,OP,13,161.9097
2012,OP,14,157.9728
2012,OP,15,154.1932
2012,OP,16,150.3697
2012,OP,17,146.4854
2012,OP,18,142.6628
2012,OP,19,138.6469
2012,OP,20,134.1811
2012,OP,21,129.3232
2012,OP,22,124.1706
2012,OP,23,117.4161
2012,OP,24,105.2435
2012,OP,25,0
2011,FPA,1,218.699
2011,FPA,2,208.1937
2011,FPA,3,199.1086
2011,FPA,4,189.901
2011,FPA,5,181.4016
2011,FPA,6,173.3657
2011,FPA,7,165.3197
2011,FPA,8,156.8657
2011,FPA,9,147.4859
2011,FPA,10,101.9618
2011,FPB,1,219.2127
2011,FPB,2,208.694
2011,FPB,3,199.4749
2011,FPB,4,190.3427
2011,FPB,5,181.9398
2011,FPB,6,173.8464
2011,FPB,7,165.7965
2011,FPB,8,157.2413
2011,FPB,9,147.8294
2011,FPB,10,92.1029
2011,FPC,1,220.9142
2011,FPC,2,209.5902
2011,FPC,3,199.9524
2011,FPC,4,190.7409
2011,FPC,5,182.3861
2011,FPC,6,174.4445
2011,FPC,7,166.3738
2011,FPC,8,157.768
2011,FPC,9,147.983
2011,FPC,10,109.615
2011,FPD,1,229.1672
2011,FPD,2,219.5966
2011,FPD,3,210.4442
2011,FPD,4,201.3434
2011,FPD,5,192.845
2011,FPD,6,184.4861
2011,FPD,7,176.4506
2011,FPD,8,167.6082
2011,FPD,9,157.0248
2011,FPD,10,125.539
2011,FPE,1,216.6864
2011,FPE,2,206.5197
2011,FPE,3,197.2421
2011,FPE,4,188.3157
2011,FPE,5,180.1851
2011,FPE,6,172.3083
2011,FPE,7,164.5532
2011,FPE,8,156.1186
2011,FPE,9,147.0456
2011,FPE,10,90.6788
2011,OP,1,225.3985
2011,OP,2,215.9586
2011,OP,3,208.5786
2011,OP,4,202.6138
2011,OP,5,197.266
2011,OP,6,192.426
2011,OP,7,187.7516
2011,OP,8,183.6195
2011,OP,9,179.724
2011,OP,10,175.7346
2011,OP,11,171.7517
2011,OP,12,167.8536
2011,OP,13,164.0875
2011,OP,14,160.2801
2011,OP,15,156.6246
2011,OP,16,152.9268
2011,OP,17,149.1701
2011,OP,18,145.4732
2011,OP,19,141.5892
2011,OP,20,137.2701
2011,OP,21,132.5719
2011,OP,22,127.5886
2011,OP,23,121.0561
2011,OP,24,109.2835
2011,OP,25,0
2010,FPA,1,219.1844
2010,FPA,2,208.4707
2010,FPA,3,199.1979
2010,FPA,4,189.8279
2010,FPA,5,181.3968
2010,FPA,6,173.2867
2010,FPA,7,165.2666
2010,FPA,8,156.751
2010,FPA,9,147.619
2010,FPA,10,108.876
2010,FPB,1,218.115
2010,FPB,2,208.1475
2010,FPB,3,199.0058
2010,FPB,4,189.8973
2010,FPB,5,181.807
2010,FPB,6,173.976
2010,FPB,7,166.1282
2010,FPB,8,157.595
2010,FPB,9,148.2105
2010,FPB,10,105.829
2010,FPC,1,220.4703
2010,FPC,2,209.5075
2010,FPC,3,199.7886
2010,FPC,4,190.5978
2010,FPC,5,182.4337
2010,FPC,6,174.488
2010,FPC,7,166.439
2010,FPC,8,157.8379
2010,FPC,9,147.8853
2010,FPC,10,111.354
2010,FPD,1,232.2118
2010,FPD,2,221.6973
2010,FPD,3,211.3509
2010,FPD,4,201.4236
2010,FPD,5,192.6102
2010,FPD,6,184.2904
2010,FPD,7,175.4497
2010,FPD,8,166.3772
2010,FPD,9,156.0503
2010,FPD,10,118.855
2010,FPE,1,216.4321
2010,FPE,2,206.2834
2010,FPE,3,197.265
2010,FPE,4,188.1939
2010,FPE,5,180.1143
2010,FPE,6,172.3827
2010,FPE,7,164.6041
2010,FPE,8,156.093
2010,FPE,9,146.981
2010,FPE,10,107.184
2010,OP,1,224.385
2010,OP,2,215.14
2010,OP,3,208.1073
2010,OP,4,202.1195
2010,OP,5,197.0231
2010,OP,6,192.1927
2010,OP,7,187.7555
2010,OP,8,183.5075
2010,OP,9,179.711
2010,OP,10,175.8189
2010,OP,11,171.8975
2010,OP,12,168.2553
2010,OP,13,164.4654
2010,OP,14,160.8723
2010,OP,15,157.209
2010,OP,16,153.7281
2010,OP,17,150.0425
2010,OP,18,146.4721
2010,OP,19,142.6748
2010,OP,20,138.6079
2010,OP,21,133.9212
2010,OP,22,129.1487
2010,OP,23,122.7309
2010,OP,24,111.4473
2010,OP,25,0
2009,FPA,1,217.9784
2009,FPA,2,207.774
2009,FPA,3,198.5584
2009,FPA,4,189.4224
2009,FPA,5,181.1485
2009,FPA,6,173.1409
2009,FPA,7,165.2423
2009,FPA,8,156.9544
2009,FPA,9,147.9024
2009,FPA,10,112.558
2009,FPB,1,216.469
2009,FPB,2,206.2871
2009,FPB,3,197.143
2009,FPB,4,188.2037
2009,FPB,5,180.2347
2009,FPB,6,172.5273
2009,FPB,7,164.7166
2009,FPB,8,156.469
2009,FPB,9,147.259
2009,FPB,10,94.489
2009,FPC,1,219.78
2009,FPC,2,209.1065
2009,FPC,3,199.3725
2009,FPC,4,190.4224
2009,FPC,5,182.3698
2009,FPC,6,174.545
2009,FPC,7,166.6313
2009,FPC,8,158.0197
2009,FPC,9,147.8698
2009,FPC,10,106.17
2009,FPD,1,232.1059
2009,FPD,2,221.7788
2009,FPD,3,211.588
2009,FPD,4,201.7812
2009,FPD,5,193.0794
2009,FPD,6,184.9456
2009,FPD,7,176.5113
2009,FPD,8,167.565
2009,FPD,9,157.0988
2009,FPD,10,121.06
2009,FPE,1,214.4537
2009,FPE,2,204.6024
2009,FPE,3,196.3223
2009,FPE,4,187.8003
2009,FPE,5,180.0276
2009,FPE,6,172.4866
2009,FPE,7,164.8918
2009,FPE,8,156.9598
2009,FPE,9,148.042
2009,FPE,10,108.606
2009,OP,1,224.294
2009,OP,2,215.3184
2009,OP,3,208.8343
2009,OP,4,202.7075
2009,OP,5,197.7165
2009,OP,6,192.8594
2009,OP,7,188.4059
2009,OP,8,184.3082
2009,OP,9,180.5018
2009,OP,10,176.7359
2009,OP,11,172.9898
2009,OP,12,169.456
2009,OP,13,165.7815
2009,OP,14,162.1463
2009,OP,15,158.6257
2009,OP,16,154.9328
2009,OP,17,151.402
2009,OP,18,147.7468
2009,OP,19,144.052
2009,OP,20,140.0244
2009,OP,21,135.7712
2009,OP,22,131.2911
2009,OP,23,124.8249
2009,OP,24,114.7088
